城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-3月平均,环比,同比,1-3月平均,环比,同比,1-3月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,99.4,95.8,97.0,99.6,96.8,97.3,99.3,95.7,97.2
秦 皇 岛,99.6,96.2,97.0,99.5,96.2,96.6,99.5,96.1,96.6
包　　头,99.6,95.9,96.1,99.6,95.9,96.3,99.5,94.9,95.7
丹　　东,99.5,95.3,95.7,99.8,98.6,98.2,99.3,96.6,96.5
锦　　州,99.9,99.3,99.6,100.0,99.3,99.3,99.6,97.5,97.9
吉　　林,100.2,99.4,99.9,100.1,99.0,99.8,100.3,99.8,99.8
牡 丹 江,99.6,96.4,96.0,99.5,96.6,96.5,99.4,99.2,98.9
无　　锡,99.9,97.9,98.1,99.8,97.1,97.5,99.0,98.9,99.3
徐　　州,98.6,95.2,96.7,99.3,93.7,95.0,98.8,94.4,96.2
扬　　州,99.9,98.0,98.2,99.5,95.4,96.4,99.2,94.9,95.7
温　　州,98.4,95.3,96.9,99.1,95.4,96.3,99.6,96.9,97.5
金　　华,98.9,92.4,93.6,98.5,92.7,94.2,98.4,92.8,94.2
蚌　　埠,99.5,98.2,99.2,99.6,96.8,97.6,99.7,96.9,97.4
安　　庆,100.0,99.1,99.3,99.3,94.9,96.2,99.4,96.4,97.1
泉　　州,99.8,100.3,99.8,99.7,99.9,99.5,99.9,99.5,99.2
九　　江,99.0,95.8,96.8,99.5,95.2,96.2,99.4,96.3,97.0
赣　　州,100.0,98.1,97.9,99.8,95.7,96.0,100.0,97.1,96.9
烟　　台,99.2,96.5,98.1,99.7,97.1,97.8,99.4,97.3,98.4
济　　宁,100.0,97.0,97.1,99.5,96.2,97.0,99.6,95.5,96.2
洛　　阳,99.9,96.1,96.2,99.7,96.8,97.6,99.5,96.3,97.4
平 顶 山,100.5,97.6,97.4,100.1,97.5,97.8,100.0,97.9,98.0
宜　　昌,99.7,96.8,97.3,99.3,95.9,96.9,99.5,94.8,95.5
襄　　阳,99.1,96.0,97.3,99.3,96.3,97.4,99.8,96.3,97.0
岳　　阳,99.6,96.3,97.0,99.6,96.2,96.8,99.9,94.6,95.6
常　　德,99.8,95.0,95.7,99.5,95.7,96.5,99.9,96.5,97.2
韶　　关,100.0,96.5,96.8,99.8,95.5,96.4,99.2,95.5,96.5
湛　　江,99.7,96.4,97.7,99.3,94.1,95.9,99.5,94.9,96.2
惠　　州,99.1,94.9,95.9,99.3,93.9,94.5,99.9,94.9,95.3
桂　　林,100.1,96.4,96.7,100.1,96.6,96.9,100.2,96.4,97.0
北　　海,100.5,99.8,100.1,100.2,99.8,100.4,99.9,100.9,101.0
三　　亚,99.6,99.6,100.8,99.9,101.8,102.6,99.0,99.6,100.8
泸　　州,99.5,93.9,95.3,99.2,96.0,97.1,99.7,94.5,95.3
南　　充,100.3,98.0,98.3,100.0,97.8,98.2,99.6,98.6,99.0
遵　　义,100.4,97.3,98.4,100.1,97.5,98.5,100.5,98.9,99.0
大　　理,100.4,98.0,98.6,100.3,96.7,97.2,100.0,97.6,97.7
