城市,90m2及以下,90-144m2,144m2以上
环比,同比,1-4月平均,环比,同比,1-4月平均,环比,同比,1-4月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,99.6,95.1,96.5,99.2,95.3,96.8,99.3,94.8,96.6
秦 皇 岛,99.0,95.5,96.6,99.5,96.1,96.5,99.1,95.2,96.2
包　　头,99.4,94.8,95.8,99.4,95.0,96.0,99.6,94.2,95.3
丹　　东,98.8,93.9,95.3,98.9,97.0,97.9,99.5,96.0,96.4
锦　　州,99.3,98.3,99.3,99.2,98.1,99.0,99.4,96.4,97.5
吉　　林,98.8,97.9,99.4,98.7,97.7,99.2,99.6,99.4,99.7
牡 丹 江,99.6,95.9,96.0,99.4,95.9,96.3,98.2,97.4,98.6
无　　锡,98.9,96.1,97.6,99.3,96.0,97.2,99.2,98.1,99.0
徐　　州,98.8,93.3,95.9,99.8,92.8,94.5,99.4,93.9,95.6
扬　　州,98.8,96.3,97.7,99.5,95.0,96.1,100.0,94.5,95.4
温　　州,99.5,94.3,96.2,99.3,94.6,95.9,98.9,95.7,97.1
金　　华,99.2,92.1,93.2,99.3,92.1,93.7,99.5,93.1,93.9
蚌　　埠,99.0,97.0,98.7,99.2,95.7,97.1,99.7,96.0,97.0
安　　庆,100.0,99.0,99.2,98.9,93.7,95.6,98.8,95.0,96.6
泉　　州,99.2,99.8,99.8,99.3,99.4,99.4,99.4,99.3,99.3
九　　江,99.0,94.1,96.1,99.1,94.0,95.6,99.7,95.7,96.6
赣　　州,99.4,97.6,97.8,99.5,94.9,95.7,99.5,96.2,96.7
烟　　台,98.2,94.9,97.3,99.0,96.3,97.4,98.4,95.7,97.7
济　　宁,99.2,96.3,96.9,99.8,95.7,96.6,99.8,95.0,95.9
洛　　阳,100.1,95.9,96.2,99.8,96.0,97.2,99.9,95.9,97.0
平 顶 山,100.2,97.5,97.4,100.1,97.5,97.7,100.0,97.8,97.9
宜　　昌,99.2,96.0,97.0,99.2,95.3,96.5,99.3,94.2,95.2
襄　　阳,99.3,94.8,96.7,99.5,95.7,96.9,99.7,95.7,96.7
岳　　阳,99.2,95.7,96.6,99.8,95.6,96.5,99.3,93.8,95.1
常　　德,99.1,93.7,95.2,99.3,94.9,96.1,98.9,94.9,96.6
韶　　关,100.0,96.5,96.7,99.4,94.6,96.0,99.7,94.7,96.1
湛　　江,98.8,94.5,96.9,99.1,92.6,95.1,98.4,93.4,95.5
惠　　州,98.3,93.0,95.2,99.3,92.6,94.0,99.2,93.6,94.9
桂　　林,99.6,95.8,96.5,99.4,95.5,96.6,99.1,95.4,96.6
北　　海,99.3,98.9,99.8,99.6,98.8,100.0,99.3,99.4,100.6
三　　亚,99.9,99.4,100.4,99.4,101.1,102.2,99.9,99.2,100.4
泸　　州,99.0,92.4,94.6,99.4,95.1,96.6,99.9,94.0,94.9
南　　充,100.0,97.6,98.1,100.0,97.5,98.0,99.3,97.9,98.7
遵　　义,100.2,96.9,98.0,100.3,97.3,98.2,100.0,98.3,98.8
大　　理,99.5,98.1,98.5,99.6,96.8,97.1,99.2,97.4,97.6
