城市,90m2及以下,90-144m2,144m2以上
环比,同比,"1-6月
平均",环比,同比,1-6月平均,环比,同比,1-6月平均
上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100,上月=100,上年同月=100,上年同期=100
唐　　山,99.3,93.1,95.5,99.3,94.0,95.9,99.5,94.2,95.8
秦 皇 岛,99.2,93.6,95.7,98.9,94.5,95.9,98.6,93.6,95.5
包　　头,98.9,93.7,95.3,99.2,94.4,95.5,98.8,92.9,94.6
丹　　东,99.8,93.7,94.8,99.2,95.4,97.2,99.9,96.4,96.4
锦　　州,98.9,95.5,98.3,99.6,97.5,98.6,99.7,95.6,96.9
吉　　林,100.1,96.1,98.3,100.2,95.7,98.0,100.4,97.6,99.0
牡 丹 江,99.6,95.0,95.7,99.4,93.6,95.6,98.3,92.8,97.0
无　　锡,100.2,95.8,96.9,99.9,96.2,96.8,100.0,97.9,98.5
徐　　州,99.2,91.3,94.4,99.0,91.1,93.5,98.0,92.0,94.7
扬　　州,99.7,94.2,96.6,99.8,93.4,95.2,99.9,92.7,94.5
温　　州,98.0,92.2,95.2,98.6,92.8,95.1,99.1,93.8,96.2
金　　华,98.9,91.1,92.6,99.3,90.7,92.8,99.4,91.9,93.4
蚌　　埠,99.7,96.7,97.9,99.2,94.3,96.3,99.3,95.5,96.5
安　　庆,98.5,97.7,98.9,99.9,92.9,94.7,99.6,94.1,95.8
泉　　州,98.9,98.1,99.3,98.2,96.8,98.8,99.1,98.0,98.9
九　　江,98.3,91.9,94.8,99.1,91.5,94.4,98.6,93.0,95.5
赣　　州,98.3,95.0,97.1,99.5,94.6,95.3,98.6,93.9,96.0
烟　　台,99.3,93.5,96.1,99.5,95.2,96.7,99.1,92.9,96.3
济　　宁,98.7,93.5,96.0,99.5,94.9,96.2,99.8,94.0,95.4
洛　　阳,98.8,94.5,95.8,99.2,95.1,96.6,98.7,94.7,96.4
平 顶 山,99.7,96.9,97.2,99.5,96.7,97.4,99.4,96.6,97.6
宜　　昌,99.9,96.7,96.8,99.8,95.4,96.2,99.7,93.9,94.8
襄　　阳,99.9,93.4,95.7,99.6,94.1,96.1,99.2,93.6,95.8
岳　　阳,99.3,94.9,96.2,99.2,94.7,96.0,99.6,93.8,94.7
常　　德,99.5,92.6,94.3,99.7,93.5,95.3,99.9,93.8,95.5
韶　　关,100.0,96.1,96.5,100.1,93.1,94.9,99.8,94.2,95.4
湛　　江,98.9,91.8,95.4,99.4,90.9,93.8,99.1,90.4,93.9
惠　　州,99.9,93.9,94.5,99.0,92.5,93.5,99.2,93.5,94.4
桂　　林,99.7,96.3,96.4,99.6,95.3,96.1,99.7,95.1,96.1
北　　海,99.5,97.3,99.1,99.7,97.2,99.2,99.5,96.9,99.5
三　　亚,100.5,98.7,99.8,100.1,99.4,101.4,99.8,97.2,99.4
泸　　州,99.9,91.8,93.6,99.1,93.5,95.6,99.6,93.2,94.2
南　　充,98.1,96.1,97.7,99.6,97.7,97.9,99.3,96.3,98.0
遵　　义,99.2,96.8,97.7,99.2,96.8,97.8,99.0,97.2,98.4
大　　理,98.6,96.4,97.9,99.2,97.1,97.1,98.9,96.9,97.4
