城市,90m2及以下,90-144m2,144m2以上
环比,同比,"1-7月
平均",环比,同比,"1-7月
平均",环比,同比,"1-7月
平均"
"上月
=100",上年同月=100,上年同期=100,"上月
=100",上年同月=100,上年同期=100,"上月
=100",上年同月=100,"上年同期
=100"
唐　　山,98.2,89.6,92.0,98.7,91.0,92.9,98.6,91.5,92.7
秦 皇 岛,98.9,90.0,92.2,99.2,91.7,93.9,99.5,90.8,93.5
包　　头,98.6,91.2,93.7,98.6,90.2,92.7,99.0,91.8,93.6
丹　　东,98.7,91.4,93.4,98.5,89.5,91.6,98.8,91.9,93.7
锦　　州,99.5,93.4,94.0,98.7,91.8,94.0,98.6,93.8,94.8
吉　　林,99.6,93.2,92.8,99.6,92.5,92.7,99.4,94.6,94.3
牡 丹 江,99.0,91.5,92.9,98.9,93.5,93.5,98.2,91.3,93.6
无　　锡,99.7,92.3,92.9,99.3,92.0,93.5,98.7,90.9,92.7
徐　　州,100.0,87.7,87.9,99.0,88.3,89.3,99.8,88.5,89.3
扬　　州,100.0,92.2,92.8,98.8,90.9,91.9,99.3,92.4,93.2
温　　州,99.2,89.5,91.1,99.4,89.2,90.7,98.6,89.3,91.0
金　　华,98.3,88.8,91.6,99.0,89.4,91.7,98.2,89.8,92.8
蚌　　埠,99.1,91.0,93.1,99.6,92.9,94.4,99.8,93.3,95.2
安　　庆,98.9,91.6,94.0,99.1,91.1,92.7,99.5,91.5,94.0
泉　　州,98.6,90.2,91.9,98.2,89.6,92.4,98.7,91.3,93.7
九　　江,98.3,91.2,93.8,98.8,89.8,91.9,98.4,90.4,92.9
赣　　州,99.3,92.5,95.8,99.7,93.9,96.5,98.9,93.1,96.5
烟　　台,99.3,89.6,92.2,98.6,89.5,90.9,99.0,91.2,93.8
济　　宁,99.0,90.4,91.7,99.9,92.0,93.5,100.0,93.2,94.2
洛　　阳,99.6,92.0,92.9,99.3,92.2,93.4,98.7,92.2,94.0
平 顶 山,99.8,93.1,94.2,99.4,93.2,94.1,99.7,93.3,94.6
宜　　昌,98.8,93.7,95.0,99.7,93.0,93.0,99.1,93.5,94.0
襄　　阳,99.5,91.1,92.2,98.8,89.0,91.2,99.6,91.0,92.0
岳　　阳,99.2,93.8,95.4,99.8,94.8,95.5,99.6,94.9,95.1
常　　德,99.4,91.3,94.1,99.3,91.1,94.0,99.3,90.8,93.3
韶　　关,98.9,92.0,94.4,99.7,93.9,95.0,98.9,92.4,94.3
湛　　江,98.7,92.0,93.7,98.9,91.3,93.8,99.1,91.1,93.3
惠　　州,98.9,91.7,94.2,99.0,91.1,93.3,98.5,91.1,94.3
桂　　林,99.8,93.5,93.4,99.6,92.8,93.9,99.9,92.8,94.4
北　　海,99.6,93.9,95.0,99.5,94.2,95.5,99.6,93.7,95.8
三　　亚,99.2,95.1,97.1,99.4,94.8,97.2,99.6,97.1,97.8
泸　　州,99.5,93.6,95.0,99.1,93.3,95.7,99.3,94.1,96.1
南　　充,99.1,92.7,95.0,98.8,92.5,95.8,99.0,92.5,95.1
遵　　义,99.4,94.8,95.3,99.2,95.4,96.1,99.9,94.3,95.1
大　　理,99.2,92.7,95.1,99.1,93.2,94.9,99.1,92.6,95.0
""
